brand,correct,total,accuracy
Breath Savers,1,1,100.0
mactarnahan's,1,1,100.0
Atletica,0,1,0.0
jinbei,1,1,100.0
Maggi,0,1,0.0
HTC,1,1,100.0
ANLI,1,1,100.0
Allrounder,1,1,100.0
Kenzo,1,1,100.0
taobao.com,0,1,0.0
ART Furniture,1,1,100.0
kasumi,1,1,100.0
knudsen,1,1,100.0
Heinkel,1,1,100.0
Honey Nut Toasty O's,0,1,0.0
smirnoff,1,1,100.0
Che,0,1,0.0
Amkette,1,1,100.0
seven fathoms,0,1,0.0
kichesippi-1,0,1,0.0
cheezels,1,1,100.0
liwayway,0,1,0.0
Botany,1,1,100.0
Gulf Oil,1,1,100.0
wenger,1,1,100.0
LongHorn Steakhouse,0,1,0.0
xierdun,1,1,100.0
runts,0,1,0.0
Ermenegildo Zegna,1,1,100.0
Cream of Wheat,0,1,0.0
the coffee bean & tea leaf,0,1,0.0
tiangxiaxiu,1,1,100.0
robin's donuts,1,1,100.0
vidyo-1,1,1,100.0
junghans,1,1,100.0
Caribou Coffee,0,1,0.0
sanquan,0,1,0.0
rice honeys nabisco,0,1,0.0
universiti teknologi petronas,1,1,100.0
charlotte olympia,1,1,100.0
John Galliano,1,1,100.0
Joico,1,1,100.0
Herbal Essences,1,1,100.0
sdlg,0,1,0.0
Bronica,1,1,100.0
sanyo,1,1,100.0
alessi,1,1,100.0
mohawk-1,0,1,0.0
meituan,1,1,100.0
Bravo,1,1,100.0
ommegang,0,1,0.0
Mahindra-2,1,1,100.0
petronor,0,1,0.0
Andrew Marc,1,1,100.0
Highland Spring,1,1,100.0
speedway llc,1,1,100.0
Lanka,0,1,0.0
Cimc-2,0,1,0.0
van houtte,0,1,0.0
square one organic,1,1,100.0
jimin,0,1,0.0
